id,abbr,state,Heavy_Drinker,Employment
1,AL,Alabama,4.5,52.5
2,AK,Alaska,8.8,61.9
3,AZ,Arizona,5.8,54.2
4,AR,Arkansas,5.1,54.2
5,CA,California,5.7,57.4
6,CO,Colorado,6.5,63.7
7,CT,Connecticut,5.7,61.6
8,DE,Delaware,5.2,58.5
9,DC,District of Columbia,9.0,62.3
10,FL,Florida,6.7,53.6
11,GA,Georgia,5.3,56.7
12,HI,Hawaii,7.9,58.1
13,ID,Idaho,5.0,58.1
14,IL,Illinois,6.5,60
15,IN,Indiana,5.2,59.5
16,IA,Iowa,6.3,64.7
17,KS,Kansas,5.1,61.9
18,KY,Kentucky,5.5,54.4
19,LA,Louisiana,6.5,55.2
20,ME,Maine,7.1,59.3
21,MD,Maryland,5.3,62.7
22,MA,Massachusetts,7.0,62.9
23,MI,Michigan,6.8,55.9
24,MN,Minnesota,6.4,66.3
25,MS,Mississippi,4.3,51.7
26,MO,Missouri,5.2,58.1
27,MT,Montana,7.5,60.1
28,NE,Nebraska,6.4,67.1
29,NV,Nevada,6.9,57.7
30,NH,New Hampshire,7.1,64.4
31,NJ,New Jersey,4.8,61
32,NM,New Mexico,5.7,53.4
33,NY,New York,4.9,58.5
34,NC,North Carolina,5.1,56.3
35,ND,North Dakota,6.7,66.5
36,OH,Ohio,6.4,58.7
37,OK,Oklahoma,3.9,57.3
38,OR,Oregon,7.7,56.6
39,PA,Pennsylvania,6.0,58.1
40,RI,Rhode Island,6.2,59.7
41,SC,South Carolina,5.9,54.9
42,SD,South Dakota,5.0,66.5
43,TN,Tennessee,4.1,55.7
44,TX,Texas,5.8,60.2
45,UT,Utah,3.3,64
46,VT,Vermont,9.1,62.5
47,VA,Virginia,5.3,60.6
48,WA,Washington,6.8,59.1
49,WV,West Virginia,3.6,49.5
50,WI,Wisconsin,7.2,63.3
51,WY,Wyoming,6.2,64.8
